COVID-19 Vaccinations in the United States
Date generated: Fri Sep 24 2021 17:36:45 GMT-0700 (Pacific Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,1034565,141422,187570,775360,105989,719166,130387,415602,56.8,384800,69.8,363893,49.7,338733,61.4,548265,420400,65900,0,33609,309832,431545,374,140611,191902,31316,64,140229,167263,31181,60,332793,56.8,384800,69.8,45.5,307765,55.8,415602,78548,85.8,73644,80.4,40994,29582,3040,28,152522,166531,1129590,414261,68,363030,59.6,140607,191045,31314,64,773142,126978,169914
Alabama,6601120,134629,173036,4449282,90743,4223346,110707,2558569,52.2,2425694,63.6,2049383,41.8,1956118,51.3,3333420,2969900,297800,0,137184,1973160,2338887,51,879875,1029765,139364,379,879463,936991,139286,378,1910998,52.2,2425694,63.6,39,1817810,47.7,2558569,730562,86,632840,74.5,335333,262974,34286,247,1336721,157291,776751,2558182,61.1,2049326,48.9,879864,1029726,139357,379,4448880,106258,157662
Arkansas,3987780,132142,172061,2980044,98749,2776484,119797,1671698,55.4,1556216,67.1,1361043,45.1,1273428,54.9,2033100,1768680,186000,0,98226,1298340,1580744,2734,582493,681513,96346,691,581439,595483,95837,669,1265302,55.4,1556216,67.1,41.9,1178165,50.8,1671698,445333,85,379839,72.5,216135,149209,14094,401,827779,158009,761198,1667898,65.2,1359558,53.2,582486,680154,96229,689,2974818,116329,155940
American Samoa,66050,118605,152277,60516,108668,50975,117522,33515,60.2,27987,64.5,27581,49.5,23601,54.4,49350,16100,600,0,546,15817,44152,1,6823,20204,554,0,6808,16240,553,0,27028,60.2,27987,64.5,48.5,23049,53.1,33515,2848,30.2,2568,27.2,1064,1479,25,0,5320,56380,699979,33505,70.5,27576,58,6822,20200,554,0,60501,127218,138886
Arizona,9801400,134658,173831,8132315,111727,7579395,134423,4289019,58.9,3990650,70.8,3689138,50.7,3447240,61.1,5338320,4015880,447200,0,287049,3323774,4508379,13113,1443984,1963598,277567,3989,1443428,1722707,277162,3943,3413564,58.9,3990650,70.8,46.9,3172060,56.3,4289019,1159896,88.6,1014254,77.5,498255,468217,45651,2131,2323976,177588,748980,4288083,69.1,3688763,59.4,1443960,1963482,277333,3988,8131245,131021,157933
Bureau of Prisons,239520,N/A,N/A,226092,N/A,226090,N/A,121329,N/A,121327,N/A,115610,N/A,115609,N/A,128700,99120,11700,0,11491,90950,123651,0,44038,60110,11462,0,44038,60110,11461,0,104196,N/A,121327,N/A,0,104196,0,121329,3530,0,3469,0,1662,1640,167,0,6888,0,0,121327,0,115609,0,44038,60110,11461,0,226090,0,0
California,58025345,146854,189516,50180738,127001,46321007,151289,28172826,71.3,26034876,85,23132161,58.5,21410395,69.9,32834925,22510120,2680300,0,1842821,19301600,29023238,13079,8501841,12796180,1830210,3930,8476544,11107421,1822755,3675,21318247,71.3,26034876,85,54,19603852,64,28172826,5794816,99.3,4692072,80.4,2378598,2128997,183230,1247,10604772,181647,993905,28092397,83.5,23083311,68.6,8501413,12748114,1829863,3921,50051201,148757,172457
Colorado,8094315,140557,179905,7100573,123301,6584541,146349,3755485,65.2,3480444,77.4,3394941,59,3155582,70.1,4477395,3257620,359300,0,265904,2818646,4011121,4902,1300315,1831797,261378,1451,1296676,1597317,260188,1401,3135974,65.2,3480444,77.4,54.5,2897757,64.4,3755485,766209,91,700286,83.1,341955,334103,23720,508,1524938,181020,960850,3743652,75.8,3386835,68.6,1300298,1823732,261355,1450,7080467,143444,163983
Connecticut,5579775,156503,196620,4986975,139876,4608175,162383,2697220,75.7,2494515,87.9,2433405,68.3,2261846,79.7,3063495,2259880,256400,0,204007,1857028,2925007,933,872433,1357453,203191,328,872044,1186529,203017,256,2231051,75.7,2494515,87.9,62.6,2059653,72.6,2697220,623389,98.9,580266,92.1,228959,330907,20330,70,1216931,193089,885336,2695890,86.8,2432936,78.3,872228,1357271,203111,326,4985252,160507,179648
District of Columbia,1208575,171247,209248,986722,139812,948848,164280,494499,70.1,470678,81.5,420338,59.6,403461,69.9,681615,472160,54800,0,30709,374112,581465,436,153991,231617,34470,260,153929,214840,34449,243,386274,70.1,470678,81.5,54.7,369416,64,494499,80495,92.2,71951,82.4,39287,30139,2486,39,185950,212896,1383710,494391,81.1,420289,68.9,153985,231579,34467,258,986631,161808,198207
